"","date",".rep",".sim","speciality","wl_type"
"1",2022-12-14,"1",50.8137645172835,"Vascular Surgery","lw_wl"
"2",2022-12-15,"1",51.6373617882779,"Vascular Surgery","lw_wl"
"3",2022-12-16,"1",51.6424166689031,"Vascular Surgery","lw_wl"
"4",2022-12-17,"1",51.5525989282481,"Vascular Surgery","lw_wl"
"5",2022-12-18,"1",51.6806374432808,"Vascular Surgery","lw_wl"
"6",2022-12-19,"1",52.1194910981388,"Vascular Surgery","lw_wl"
"7",2022-12-20,"1",51.9491837625832,"Vascular Surgery","lw_wl"
"8",2022-12-21,"1",52.556702847532,"Vascular Surgery","lw_wl"
"9",2022-12-22,"1",52.8578219638913,"Vascular Surgery","lw_wl"
"10",2022-12-23,"1",52.7392841432943,"Vascular Surgery","lw_wl"
"11",2022-12-24,"1",53.0871956547556,"Vascular Surgery","lw_wl"
"12",2022-12-25,"1",52.736644874456,"Vascular Surgery","lw_wl"
"13",2022-12-26,"1",52.8122351784951,"Vascular Surgery","lw_wl"
"14",2022-12-27,"1",52.5369372073376,"Vascular Surgery","lw_wl"
"15",2022-12-28,"1",52.5218072096549,"Vascular Surgery","lw_wl"
"16",2022-12-29,"1",53.3954737448663,"Vascular Surgery","lw_wl"
"17",2022-12-30,"1",54.0153130068885,"Vascular Surgery","lw_wl"
"18",2022-12-31,"1",53.9662551610739,"Vascular Surgery","lw_wl"
"19",2023-01-01,"1",54.3473650965867,"Vascular Surgery","lw_wl"
"20",2023-01-02,"1",54.402663041215,"Vascular Surgery","lw_wl"
"21",2023-01-03,"1",53.8893492009249,"Vascular Surgery","lw_wl"
"22",2023-01-04,"1",53.9521122262759,"Vascular Surgery","lw_wl"
"23",2023-01-05,"1",54.3968713285201,"Vascular Surgery","lw_wl"
"24",2023-01-06,"1",54.6852114129438,"Vascular Surgery","lw_wl"
"25",2023-01-07,"1",55.1599267183594,"Vascular Surgery","lw_wl"
"26",2023-01-08,"1",55.1299103374574,"Vascular Surgery","lw_wl"
"27",2023-01-09,"1",54.9177264522294,"Vascular Surgery","lw_wl"
"28",2023-01-10,"1",54.9313955359358,"Vascular Surgery","lw_wl"
"29",2023-01-11,"1",55.5496972541311,"Vascular Surgery","lw_wl"
"30",2023-01-12,"1",54.8932184149773,"Vascular Surgery","lw_wl"
"31",2023-01-13,"1",55.2573059205167,"Vascular Surgery","lw_wl"
"32",2023-01-14,"1",55.3430329156574,"Vascular Surgery","lw_wl"
"33",2023-01-15,"1",55.3010313316085,"Vascular Surgery","lw_wl"
"34",2023-01-16,"1",55.2757906844646,"Vascular Surgery","lw_wl"
"35",2023-01-17,"1",55.4924518917096,"Vascular Surgery","lw_wl"
"36",2023-01-18,"1",55.5718512599558,"Vascular Surgery","lw_wl"
"37",2023-01-19,"1",55.1123583689179,"Vascular Surgery","lw_wl"
"38",2023-01-20,"1",55.4738839041918,"Vascular Surgery","lw_wl"
"39",2023-01-21,"1",55.3984450074457,"Vascular Surgery","lw_wl"
"40",2023-01-22,"1",55.7321195253645,"Vascular Surgery","lw_wl"
"41",2023-01-23,"1",56.2875896208588,"Vascular Surgery","lw_wl"
"42",2023-01-24,"1",56.01944248214,"Vascular Surgery","lw_wl"
"43",2023-01-25,"1",56.4590462344573,"Vascular Surgery","lw_wl"
"44",2023-01-26,"1",56.136685989464,"Vascular Surgery","lw_wl"
"45",2023-01-27,"1",56.6218536600761,"Vascular Surgery","lw_wl"
"46",2023-01-28,"1",57.245535444797,"Vascular Surgery","lw_wl"
"47",2023-01-29,"1",57.4766644374742,"Vascular Surgery","lw_wl"
"48",2023-01-30,"1",58.2937757377689,"Vascular Surgery","lw_wl"
"49",2023-01-31,"1",58.1631073813382,"Vascular Surgery","lw_wl"
"50",2023-02-01,"1",58.1569934261342,"Vascular Surgery","lw_wl"
"51",2023-02-02,"1",58.6587682454595,"Vascular Surgery","lw_wl"
"52",2023-02-03,"1",58.2239074391815,"Vascular Surgery","lw_wl"
"53",2023-02-04,"1",58.3312106150395,"Vascular Surgery","lw_wl"
"54",2023-02-05,"1",58.0879287164545,"Vascular Surgery","lw_wl"
"55",2023-02-06,"1",57.7389941079233,"Vascular Surgery","lw_wl"
"56",2023-02-07,"1",57.9808921142911,"Vascular Surgery","lw_wl"
"57",2023-02-08,"1",58.6343344011677,"Vascular Surgery","lw_wl"
"58",2023-02-09,"1",58.573627629146,"Vascular Surgery","lw_wl"
"59",2023-02-10,"1",58.640207316216,"Vascular Surgery","lw_wl"
"60",2023-02-11,"1",58.490262947394,"Vascular Surgery","lw_wl"
"61",2023-02-12,"1",58.9752452763294,"Vascular Surgery","lw_wl"
"62",2023-02-13,"1",59.4029593316652,"Vascular Surgery","lw_wl"
"63",2023-02-14,"1",59.8163438767207,"Vascular Surgery","lw_wl"
"64",2023-02-15,"1",60.4797422417467,"Vascular Surgery","lw_wl"
"65",2023-02-16,"1",60.8494207194123,"Vascular Surgery","lw_wl"
"66",2023-02-17,"1",60.5969342334024,"Vascular Surgery","lw_wl"
